Run,Streak Target,Flips Required
1,1,0
1,2,2
1,3,11
1,4,35
1,5,41
1,6,8
1,7,36
1,8,63
1,9,146
1,10,26
1,11,361
1,12,654
1,13,1848
1,14,1229
1,15,11076
1,16,63907
1,17,28322
1,18,26389
1,19,389073
1,20,489552
2,1,0
2,2,1
2,3,26
2,4,22
2,5,99
2,6,103
2,7,104
2,8,754
2,9,50
2,10,3640
2,11,654
2,12,9770
2,13,634
2,14,1399
2,15,1595
2,16,173337
2,17,3225
2,18,206204
2,19,318253
2,20,822340
3,1,0
3,2,3
3,3,2
3,4,10
3,5,4
3,6,77
3,7,133
3,8,445
3,9,369
3,10,1771
3,11,545
3,12,7099
3,13,2047
3,14,15184
3,15,35507
3,16,88096
3,17,37154
3,18,513674
3,19,291486
3,20,1192572
4,1,0
4,2,6
4,3,2
4,4,19
4,5,4
4,6,113
4,7,48
4,8,819
4,9,1769
4,10,723
4,11,320
4,12,12935
4,13,469
4,14,47899
4,15,80935
4,16,89680
4,17,216562
4,18,63783
4,19,230749
4,20,1840510
5,1,0
5,2,3
5,3,8
5,4,15
5,5,7
5,6,12
5,7,25
5,8,863
5,9,205
5,10,2251
5,11,3431
5,12,325
5,13,37568
5,14,30057
5,15,28981
5,16,82558
5,17,50916
5,18,345925
5,19,5680
5,20,2071667
6,1,0
6,2,2
6,3,2
6,4,14
6,5,13
6,6,19
6,7,161
6,8,491
6,9,16
6,10,422
6,11,856
6,12,5954
6,13,2083
6,14,11465
6,15,44017
6,16,3999
6,17,165874
6,18,156648
6,19,595104
6,20,1697204
7,1,0
7,2,2
7,3,5
7,4,6
7,5,73
7,6,96
7,7,171
7,8,22
7,9,95
7,10,99
7,11,1353
7,12,8692
7,13,9578
7,14,3922
7,15,40220
7,16,106798
7,17,61928
7,18,46255
7,19,220777
7,20,351704
8,1,0
8,2,1
8,3,7
8,4,9
8,5,11
8,6,39
8,7,76
8,8,118
8,9,1203
8,10,1293
8,11,4178
8,12,1529
8,13,2720
8,14,14788
8,15,3075
8,16,4946
8,17,123652
8,18,130623
8,19,284077
8,20,2532179
9,1,0
9,2,2
9,3,15
9,4,25
9,5,10
9,6,255
9,7,8
9,8,124
9,9,300
9,10,475
9,11,2645
9,12,11827
9,13,6221
9,14,2204
9,15,18202
9,16,22708
9,17,33843
9,18,8330
9,19,988390
9,20,255720
10,1,0
10,2,1
10,3,4
10,4,16
10,5,9
10,6,32
10,7,135
10,8,79
10,9,594
10,10,1900
10,11,578
10,12,2672
10,13,49908
10,14,42628
10,15,6217
10,16,25660
10,17,141524
10,18,280787
10,19,772187
10,20,332068
11,1,0
11,2,1
11,3,13
