Total Runs,Current Run,Streak Target,Flips Required,Theoretical Flips,Absolute Difference,Percentage Difference
1,1,1,0,2,-2,-100.0
1,1,2,4,4,0,0.0
1,1,3,14,8,6,75.0
1,1,4,25,16,9,56.25
1,1,5,44,32,12,37.5
1,1,6,33,64,-31,-48.4375
1,1,7,220,128,92,71.875
1,1,8,51,256,-205,-80.078125
1,1,9,784,512,272,53.125
1,1,10,845,1024,-179,-17.48046875
1,1,11,184,2048,-1864,-91.015625
1,1,12,1234,4096,-2862,-69.873046875
1,1,13,4368,8192,-3824,-46.6796875
1,1,14,38677,16384,22293,136.065673828125
1,1,15,1118,32768,-31650,-96.588134765625
2,1,1,0,2,-2,-100.0
2,1,2,1,4,-3,-75.0
2,1,3,5,8,-3,-37.5
2,1,4,5,16,-11,-68.75
2,1,5,22,32,-10,-31.25
2,1,6,35,64,-29,-45.3125
2,1,7,54,128,-74,-57.8125
2,1,8,84,256,-172,-67.1875
2,1,9,1744,512,1232,240.625
2,1,10,1555,1024,531,51.85546875
2,1,11,1400,2048,-648,-31.640625
2,1,12,545,4096,-3551,-86.6943359375
2,1,13,7734,8192,-458,-5.5908203125
2,1,14,6480,16384,-9904,-60.44921875
2,1,15,18871,32768,-13897,-42.4102783203125
2,2,1,0,2,-2,-100.0
2,2,2,4,4,0,0.0
2,2,3,16,8,8,100.0
2,2,4,15,16,-1,-6.25
2,2,5,37,32,5,15.625
2,2,6,43,64,-21,-32.8125
2,2,7,82,128,-46,-35.9375
2,2,8,92,256,-164,-64.0625
2,2,9,53,512,-459,-89.6484375
2,2,10,447,1024,-577,-56.34765625
2,2,11,2088,2048,40,1.953125
2,2,12,1972,4096,-2124,-51.85546875
2,2,13,36312,8192,28120,343.26171875
2,2,14,31334,16384,14950,91.24755859375
2,2,15,73025,32768,40257,122.8546142578125
3,1,1,0,2,-2,-100.0
3,1,2,1,4,-3,-75.0
3,1,3,8,8,0,0.0
3,1,4,17,16,1,6.25
3,1,5,13,32,-19,-59.375
3,1,6,7,64,-57,-89.0625
3,1,7,151,128,23,17.96875
3,1,8,37,256,-219,-85.546875
3,1,9,139,512,-373,-72.8515625
3,1,10,242,1024,-782,-76.3671875
3,1,11,180,2048,-1868,-91.2109375
3,1,12,2531,4096,-1565,-38.2080078125
3,1,13,11072,8192,2880,35.15625
3,1,14,2235,16384,-14149,-86.358642578125
3,1,15,19915,32768,-12853,-39.2242431640625
3,2,1,0,2,-2,-100.0
3,2,2,2,4,-2,-50.0
3,2,3,3,8,-5,-62.5
3,2,4,21,16,5,31.25
3,2,5,26,32,-6,-18.75
3,2,6,21,64,-43,-67.1875
3,2,7,58,128,-70,-54.6875
3,2,8,34,256,-222,-86.71875
3,2,9,234,512,-278,-54.296875
3,2,10,216,1024,-808,-78.90625
3,2,11,874,2048,-1174,-57.32421875
3,2,12,1407,4096,-2689,-65.6494140625
3,2,13,10691,8192,2499,30.50537109375
3,2,14,11668,16384,-4716,-28.7841796875
3,2,15,53034,32768,20266,61.846923828125
3,3,1,0,2,-2,-100.0
3,3,2,11,4,7,175.0
3,3,3,4,8,-4,-50.0
3,3,4,6,16,-10,-62.5
3,3,5,5,32,-27,-84.375
3,3,6,40,64,-24,-37.5
3,3,7,103,128,-25,-19.53125
3,3,8,410,256,154,60.15625
3,3,9,248,512,-264,-51.5625
3,3,10,259,1024,-765,-74.70703125
