Run,Streak Target,Flips Required
1,1,0
1,2,1
1,3,2
1,4,22
1,5,44
1,6,113
1,7,23
1,8,212
1,9,369
1,10,145
1,11,456
1,12,2392
1,13,11995
1,14,3923
1,15,36128
1,16,154
1,17,75405
1,18,334390
1,19,698885
1,20,670406
2,1,0
2,2,3
2,3,4
2,4,12
2,5,4
2,6,24
2,7,6
2,8,47
2,9,497
2,10,756
2,11,7049
2,12,13400
2,13,1573
2,14,12957
2,15,27083
2,16,218522
2,17,160043
2,18,20360
2,19,193630
2,20,658673
3,1,0
3,2,2
3,3,2
3,4,5
3,5,15
3,6,5
3,7,64
3,8,41
3,9,361
3,10,463
3,11,113
3,12,2760
3,13,13595
3,14,10202
3,15,9630
3,16,55271
3,17,43879
3,18,29282
3,19,1009782
3,20,399522
4,1,0
4,2,2
4,3,3
4,4,13
4,5,11
4,6,31
4,7,10
4,8,212
4,9,83
4,10,1072
4,11,817
4,12,3559
4,13,3455
4,14,14588
4,15,38543
4,16,33784
4,17,320201
4,18,540287
4,19,417335
4,20,706860
5,1,0
5,2,2
5,3,3
5,4,17
5,5,6
5,6,68
5,7,105
5,8,97
5,9,74
5,10,1064
5,11,1460
5,12,150
5,13,2517
5,14,3849
5,15,69595
5,16,35188
5,17,232574
5,18,46024
5,19,635537
5,20,6397631
6,1,0
6,2,1
6,3,5
6,4,8
6,5,27
6,6,194
6,7,36
6,8,109
6,9,191
6,10,1282
6,11,2745
6,12,6058
6,13,11766
6,14,51085
6,15,9766
6,16,21031
6,17,36086
6,18,222002
6,19,539898
6,20,227072
7,1,0
7,2,2
7,3,10
7,4,23
7,5,45
7,6,89
7,7,159
7,8,65
7,9,385
7,10,844
7,11,155
7,12,2505
7,13,13575
7,14,3171
7,15,50543
7,16,61994
7,17,92894
7,18,240307
7,19,917591
7,20,974973
8,1,0
8,2,1
8,3,2
8,4,19
8,5,77
8,6,14
8,7,39
8,8,712
8,9,148
8,10,571
8,11,2125
8,12,2917
8,13,5146
8,14,4423
8,15,2308
8,16,70567
8,17,166186
8,18,204731
8,19,1097768
8,20,583234
9,1,0
9,2,7
9,3,3
9,4,11
9,5,11
9,6,162
9,7,41
9,8,169
9,9,88
9,10,785
9,11,1906
9,12,1724
9,13,2974
9,14,18903
9,15,43792
9,16,67894
9,17,112358
9,18,72108
9,19,884209
9,20,1125715
10,1,0
10,2,1
10,3,2
10,4,14
10,5,51
10,6,28
10,7,29
10,8,483
10,9,73
10,10,530
10,11,560
10,12,1098
10,13,14206
10,14,71134
10,15,26816
10,16,42985
10,17,119452
10,18,534047
10,19,165183
10,20,1735144
11,1,0
11,2,2
11,3,5
11,4,5
11,5,16
11,6,5
11,7,728
11,8,305
11,9,54
11,10,531
11,11,964
11,12,7015
11,13,929
11,14,20070
11,15,65564
11,16,148401
11,17,242972
11,18,78500
11,19,147713
11,20,242952
12,1,0
12,2,1
12,3,6
12,4,6
12,5,57
12,6,22
12,7,263
12,8,36
12,9,674
12,10,661
12,11,1252
12,12,326
12,13,12356
12,14,5753
12,15,182769
12,16,212230
12,17,76486
12,18,93318
12,19,50355
12,20,116233
13,1,0
13,2,2
13,3,13
13,4,4
13,5,28
13,6,62
13,7,304
13,8,198
13,9,111
13,10,1785
13,11,1672
13,12,1286
13,13,328
13,14,75255
13,15,858
13,16,15094
13,17,15320
13,18,23535
13,19,416370
13,20,68756
14,1,0
14,2,1
14,3,2
14,4,7
14,5,12
14,6,68
14,7,17
14,8,28
14,9,1161
14,10,963
14,11,4509
14,12,6206
14,13,7306
14,14,5148
14,15,2686
14,16,14738
14,17,244076
14,18,144428
14,19,427081
14,20,783087
15,1,0
15,2,1
15,3,3
15,4,40
15,5,53
15,6,8
15,7,91
15,8,67
15,9,45
15,10,12
15,11,4950
15,12,2324
15,13,1525
15,14,10996
15,15,15988
15,16,81907
15,17,104056
15,18,165764
15,19,790242
15,20,244418
16,1,0
16,2,2
16,3,3
16,4,7
16,5,25
16,6,169
16,7,94
16,8,88
16,9,662
16,10,1603
16,11,1319
16,12,3547
16,13,9375
16,14,32972
16,15,11040
16,16,78791
16,17,30026
16,18,170498
16,19,407990
16,20,262093
17,1,0
17,2,1
17,3,17
17,4,6
17,5,16
17,6,32
17,7,27
17,8,280
17,9,368
17,10,313
17,11,1415
17,12,2080
17,13,2659
17,14,3211
17,15,43692
17,16,35833
17,17,97751
