Run,Streak Target,Flips Required
1,1,0
1,2,1
1,3,16
1,4,14
1,5,11
1,6,34
1,7,78
1,8,62
1,9,15
1,10,312
1,11,58
1,12,64
1,13,1441
1,14,2428
1,15,4761
1,16,110957
1,17,44856
1,18,140015
1,19,316417
1,20,1346902
2,1,0
2,2,1
2,3,2
2,4,20
2,5,53
2,6,77
2,7,174
2,8,349
2,9,518
2,10,225
2,11,1864
2,12,271
2,13,2269
2,14,14597
2,15,15938
2,16,70422
2,17,337253
2,18,268206
2,19,128053
2,20,1451625
3,1,0
3,2,1
3,3,2
3,4,9
3,5,9
3,6,184
3,7,15
3,8,636
3,9,236
3,10,44
3,11,1485
3,12,468
3,13,5055
3,14,2712
3,15,12358
3,16,102876
3,17,103912
3,18,323435
3,19,121031
3,20,987310
4,1,0
4,2,1
4,3,6
4,4,3
4,5,12
4,6,38
4,7,182
4,8,221
4,9,111
4,10,1416
4,11,699
4,12,2087
4,13,8441
4,14,2350
4,15,10449
4,16,18535
4,17,51096
4,18,373729
4,19,2125755
4,20,248475
5,1,0
5,2,1
5,3,2
5,4,28
5,5,72
5,6,200
5,7,60
5,8,290
5,9,59
5,10,623
5,11,44
5,12,2043
5,13,5482
5,14,118293
5,15,74015
5,16,122153
5,17,50881
5,18,195332
5,19,486397
5,20,3603224
6,1,0
6,2,1
6,3,6
6,4,33
6,5,14
6,6,142
6,7,88
6,8,272
6,9,1612
6,10,324
6,11,2532
6,12,3593
6,13,19027
6,14,56552
6,15,50585
6,16,259
6,17,172320
6,18,23131
6,19,941444
6,20,901921
7,1,0
7,2,2
7,3,7
7,4,23
7,5,20
7,6,53
7,7,22
7,8,115
7,9,113
7,10,1070
7,11,935
7,12,16825
7,13,6228
7,14,2054
7,15,18980
7,16,113745
7,17,161061
7,18,115252
7,19,160449
7,20,159612
8,1,0
8,2,3
8,3,3
8,4,13
8,5,67
8,6,160
8,7,20
8,8,32
8,9,968
8,10,670
8,11,8867
8,12,1497
8,13,880
8,14,13475
8,15,7575
8,16,163566
8,17,59403
8,18,448437
8,19,919091
8,20,525687
9,1,0
9,2,1
9,3,3
9,4,8
9,5,14
9,6,6
9,7,178
9,8,142
9,9,256
9,10,112
9,11,3420
9,12,938
9,13,2466
9,14,2463
9,15,52053
9,16,162560
9,17,149913
9,18,50997
9,19,306023
9,20,495503
10,1,0
10,2,1
10,3,2
10,4,7
10,5,17
10,6,5
10,7,195
10,8,239
10,9,247
10,10,520
10,11,1247
10,12,2692
10,13,33899
10,14,1525
10,15,122681
10,16,2586
10,17,46060
10,18,70524
10,19,324509
10,20,227294
11,1,0
11,2,1
11,3,2
11,4,5
11,5,109
11,6,128
11,7,46
11,8,287
11,9,143
11,10,574
11,11,2414
11,12,1196
11,13,28
11,14,7272
11,15,11551
11,16,211756
11,17,67922
11,18,551903
11,19,807977
11,20,3023080
12,1,0
12,2,1
12,3,3
12,4,13
12,5,32
12,6,102
12,7,345
12,8,1194
12,9,225
12,10,28
12,11,2147
12,12,1773
12,13,16534
12,14,20787
12,15,15868
12,16,7850
12,17,271305
12,18,887278
12,19,300524
12,20,780417
13,1,0
13,2,1
13,3,3
13,4,8
13,5,4
13,6,82
13,7,123
13,8,58
13,9,144
13,10,389
13,11,1026
13,12,11990
13,13,25
13,14,47255
13,15,29601
13,16,44636
13,17,70320
13,18,292629
13,19,669713
13,20,2663172
14,1,0
14,2,4
14,3,8
14,4,4
14,5,55
14,6,138
14,7,71
14,8,189
14,9,565
14,10,1547
14,11,1036
14,12,9715
14,13,8376
14,14,14391
14,15,6660
14,16,173713
14,17,379016
14,18,408387
14,19,76905
14,20,503174
15,1,0
15,2,3
15,3,13
15,4,50
15,5,25
15,6,5
15,7,25
15,8,237
15,9,502
15,10,771
15,11,2503
15,12,12109
15,13,238
15,14,34634
15,15,20416
15,16,22128
15,17,134280
15,18,22094
15,19,94252
15,20,2103417
16,1,0
16,2,1
16,3,2
16,4,6
16,5,17
16,6,28
16,7,6
16,8,424
16,9,192
16,10,1239
16,11,1652
16,12,2634
16,13,2367
16,14,6948
16,15,64304
16,16,8808
16,17,713579
16,18,17572
16,19,289850
16,20,118821
17,1,0
17,2,1
17,3,3
17,4,17
17,5,59
17,6,19
17,7,30
17,8,521
17,9,621
17,10,892
17,11,850
17,12,320
17,13,5305
17,14,90
17,15,32114
17,16,99475
17,17,106343
